status,age_group,education,industry,location,ai_risk,years_of_experience,monthly_salary_inr,date_recorded
EMPLOYED,25-34,high school,Retail,,Low,,58000.0,2024-03-04
unemployed,18 to 24,Master,Education,suburban,low,6.0,18300.0,2024-03-05
Unemployed,18-24,High School,Education,Hyderabad,Low,20.0,14700.0,2024-03-09
Employed,18 to 24,High School,Healthcare,urban,Medium,,117800.0,2024-03-11
unemployed,55+,Masters,Fintech,Bangalore,moderate,,50800.0,2024-03-12
unemployed,55+,Diploma,Health,Delhi,HIGH,4.0,73300.0,2024-03-13
EMPLOYED,25_34,Master,Health,Bangalore,Low,,17700.0,2024-03-14
employed,45-54,Bachelors,Retail,Hyderabad,High,23.0,120500.0,2024-03-16
Employed,25-34,PhD,Fintech,urban,low,,15000.0,2024-03-17
employed,,Master,Technology,Mumbai,low,14.0,21300.0,2024-03-18
UNEMPLOYED,45-54,Bachelors,,Delhi,low,,116000.0,2024-03-19
UNEMPLOYED,18-24,,Finance,rural,HIGH,7.0,121300.0,2024-03-21
EMPLOYED,,Diploma,Retail,Delhi,Medium,3.0,103300.0,2024-03-22
EMPLOYED,25-34,PhD,Technology,Urban,HIGH,29.0,90500.0,2024-03-23
,45-54,high school,Healthcare,Mumbai,,4.0,131700.0,2024-03-24
,25_34,High School,,Bangalore,Medium,,20600.0,2024-03-25
employed,25_34,Bachelor's,Health,Mumbai,HIGH,,135400.0,2024-03-26
unemployed,25_34,PhD,Retail,Urban,High,,47700.0,2024-03-27
EMPLOYED,,High School,Tech,Bangalore,,19.0,130300.0,2024-03-28
EMPLOYED,25-34,High School,Health,urban,High,29.0,144500.0,2024-03-29
unemployed,18 to 24,High School,,Mumbai,moderate,,106600.0,2024-03-30
,,Bachelors,Finance,Delhi,High,30.0,75200.0,2024-03-31
UNEMPLOYED,35 - 44,Masters,Tech,suburban,HIGH,,5100.0,2024-04-01
,35 - 44,PhD,Health,Hyderabad,low,7.0,145100.0,2024-04-02
,25_34,High School,Healthcare,,moderate,,57500.0,2024-04-03
EMPLOYED,25_34,Master,Fintech,urban,HIGH,,74500.0,2024-04-04
UNEMPLOYED,55+,Master,Fintech,suburban,HIGH,,105900.0,2024-04-05
,,Diploma,Tech,Mumbai,HIGH,17.0,28200.0,2024-04-06
UNEMPLOYED,45-54,PhD,Technology,Delhi,Medium,,84500.0,2024-04-07
UNEMPLOYED,55+,high school,Healthcare,Bangalore,HIGH,,147100.0,2024-04-08
,25-34,Bachelor's,Tech,suburban,High,17.0,10500.0,2024-04-09
Employed,45-54,,Finance,urban,Low,16.0,86900.0,2024-04-10
Unemployed,25-34,Bachelor's,Fintech,Hyderabad,Low,,105200.0,2024-04-11
employed,55+,Ph.D,Health,Urban,moderate,,134500.0,2024-04-13
,35 - 44,,Education,rural,High,,147200.0,2024-04-14
unemployed,35 - 44,PhD,Retail,,low,,81500.0,2024-04-15
Employed,55+,Bachelor's,Tech,Mumbai,moderate,5.0,16200.0,2024-04-16
Employed,35 - 44,high school,Technology,Bangalore,moderate,20.0,136000.0,2024-04-17
UNEMPLOYED,18-24,,Retail,Bangalore,HIGH,,29800.0,2024-04-19
employed,55+,Ph.D,,Hyderabad,moderate,22.0,115100.0,2024-04-21
Employed,45-54,,Health,suburban,moderate,0.0,75100.0,2024-04-22
employed,25_34,Bachelor's,Health,Urban,HIGH,17.0,98200.0,2024-04-23
Unemployed,55+,Ph.D,,suburban,High,18.0,86000.0,2024-04-24
Employed,45-54,Bachelor's,Education,,High,6.0,29900.0,2024-04-25
employed,25-34,Bachelors,Health,,Low,1.0,114500.0,2024-04-26
UNEMPLOYED,35 - 44,Bachelors,Technology,,moderate,,67500.0,2024-04-28
Unemployed,,Diploma,Finance,,,,149000.0,2024-04-29
employed,18-24,Ph.D,Health,urban,High,26.0,6800.0,2024-04-30
Employed,25-34,Bachelor's,Fintech,Bangalore,High,26.0,64900.0,2024-05-01
UNEMPLOYED,18 to 24,Bachelors,Retail,urban,High,7.0,146300.0,2024-05-02
unemployed,35 - 44,Bachelors,Healthcare,suburban,moderate,,55600.0,2024-05-03
EMPLOYED,18 to 24,Bachelors,Finance,Mumbai,Low,29.0,51100.0,2024-05-06
unemployed,35 - 44,Masters,Retail,Urban,High,16.0,11000.0,2024-05-07
Employed,55+,PhD,Tech,Urban,Medium,19.0,62800.0,2024-05-08
EMPLOYED,18-24,Bachelor's,Technology,urban,High,26.0,46000.0,2024-05-10
Employed,55+,Masters,Tech,Mumbai,moderate,0.0,105500.0,2024-05-12
,,Bachelor's,Finance,suburban,HIGH,,62600.0,2024-05-13
employed,25_34,High School,Retail,Urban,HIGH,,60200.0,2024-05-14
UNEMPLOYED,55+,Bachelors,,suburban,low,5.0,87200.0,2024-05-15
employed,35 - 44,PhD,Retail,Mumbai,,,118000.0,2024-05-16
EMPLOYED,55+,Diploma,Education,Urban,Low,5.0,17400.0,2024-05-18
employed,25-34,Ph.D,Healthcare,Mumbai,,11.0,137600.0,2024-05-21
Employed,18-24,,Health,rural,HIGH,,68800.0,2024-05-23
Employed,,Bachelors,Retail,urban,HIGH,,107000.0,2024-05-24
employed,45-54,High School,,Urban,Low,7.0,63500.0,2024-05-25
Unemployed,18 to 24,high school,,Bangalore,low,0.0,47400.0,2024-05-26
,,Bachelor's,Fintech,urban,Medium,3.0,99800.0,2024-05-27
Employed,35 - 44,Masters,Technology,suburban,Medium,23.0,34900.0,2024-05-28
EMPLOYED,35 - 44,Ph.D,Fintech,Bangalore,Medium,,82800.0,2024-05-29
employed,18 to 24,Ph.D,Technology,Mumbai,,27.0,107800.0,2024-05-30
unemployed,18-24,Bachelor's,Education,Urban,Low,,54500.0,2024-05-31
Employed,18-24,Ph.D,Retail,Urban,moderate,,47100.0,2024-06-01
Employed,,Diploma,Retail,Urban,Low,1.0,15000.0,2024-06-02
EMPLOYED,18 to 24,Diploma,Retail,Delhi,low,,94500.0,2024-06-03
Unemployed,18 to 24,Ph.D,Tech,,High,,27200.0,2024-06-04
UNEMPLOYED,18 to 24,Master,Retail,suburban,low,18.0,100400.0,2024-06-05
unemployed,,PhD,Tech,suburban,High,5.0,34100.0,2024-06-06
Unemployed,45-54,high school,Education,,moderate,,8000.0,2024-06-08
UNEMPLOYED,35 - 44,Ph.D,Technology,Hyderabad,low,,130500.0,2024-06-10
Unemployed,35 - 44,Masters,Fintech,urban,Low,,122900.0,2024-06-11
UNEMPLOYED,55+,Bachelor's,Healthcare,Mumbai,HIGH,4.0,93400.0,2024-06-12
EMPLOYED,35 - 44,,Retail,Urban,Medium,21.0,77700.0,2024-06-13
UNEMPLOYED,45-54,Masters,Tech,Hyderabad,low,,52400.0,2024-06-14
Unemployed,,high school,Tech,Hyderabad,moderate,13.0,37300.0,2024-06-16
unemployed,55+,Masters,Education,Urban,HIGH,19.0,96700.0,2024-06-17
Employed,55+,Bachelor's,,urban,High,,8200.0,2024-06-18
UNEMPLOYED,55+,,Fintech,urban,HIGH,11.0,72100.0,2024-06-20
employed,55+,,Technology,,moderate,,9800.0,2024-06-21
unemployed,25_34,Diploma,Education,Bangalore,HIGH,,24600.0,2024-06-22
unemployed,55+,Diploma,Education,Bangalore,High,,133700.0,2024-06-23
EMPLOYED,,High School,Retail,Bangalore,moderate,,21400.0,2024-06-24
Employed,18-24,PhD,Retail,Delhi,Medium,0.0,138700.0,2024-06-25
,45-54,,Fintech,Mumbai,,,125500.0,2024-06-26
EMPLOYED,18 to 24,High School,Education,rural,Medium,,87400.0,2024-06-27
unemployed,18-24,Masters,Healthcare,Hyderabad,Low,13.0,133300.0,2024-06-28
employed,45-54,Bachelor's,Fintech,Mumbai,HIGH,28.0,24100.0,2024-06-29
Employed,25-34,,Finance,suburban,moderate,25.0,64600.0,2024-06-30
,25-34,Bachelors,Tech,urban,Low,23.0,108700.0,2024-07-01
EMPLOYED,,Master,Fintech,,moderate,,38500.0,2024-07-02
,55+,Bachelor's,Tech,Delhi,Medium,28.0,40400.0,2024-07-03
UNEMPLOYED,,Bachelor's,Health,Bangalore,low,20.0,17200.0,2024-07-04
UNEMPLOYED,18 to 24,high school,Finance,Bangalore,Medium,,132900.0,2024-07-05
Unemployed,35 - 44,Diploma,Education,rural,,13.0,102800.0,2024-07-06
employed,55+,Bachelors,Finance,Hyderabad,,25.0,95600.0,2024-07-07
Unemployed,25-34,,Finance,rural,moderate,,69500.0,2024-07-08
,45-54,Bachelors,Health,urban,moderate,10.0,86000.0,2024-07-09
employed,18-24,Masters,Healthcare,urban,,3.0,140800.0,2024-07-10
unemployed,55+,High School,Technology,Hyderabad,HIGH,,84700.0,2024-07-11
unemployed,25-34,Ph.D,Finance,,HIGH,,56600.0,2024-07-12
,35 - 44,,Retail,Delhi,High,22.0,66700.0,2024-07-13
Unemployed,55+,Masters,Finance,Bangalore,Medium,,96400.0,2024-07-14
EMPLOYED,18 to 24,,Retail,rural,High,0.0,101400.0,2024-07-15
employed,18 to 24,,Fintech,Bangalore,,21.0,37300.0,2024-07-16
unemployed,35 - 44,PhD,Retail,Bangalore,High,,124400.0,2024-07-17
unemployed,18-24,Bachelors,Technology,Bangalore,High,,128000.0,2024-07-18
employed,18-24,Master,Health,Hyderabad,Medium,,34700.0,2024-07-20
Unemployed,45-54,high school,Tech,urban,moderate,,34700.0,2024-07-21
Unemployed,18-24,Bachelor's,Health,urban,Low,,117800.0,2024-07-24
Employed,25-34,PhD,Retail,Urban,Medium,,69500.0,2024-07-25
,18-24,Ph.D,Retail,Mumbai,moderate,18.0,148400.0,2024-07-26
Employed,25_34,high school,Retail,rural,,,61600.0,2024-07-28
Unemployed,,PhD,Education,,Low,,83100.0,2024-07-29
Unemployed,25-34,Bachelor's,Fintech,rural,moderate,23.0,140600.0,2024-07-31
UNEMPLOYED,25_34,Masters,,urban,Low,13.0,57100.0,2024-08-02
Employed,55+,Master,Retail,suburban,High,4.0,97800.0,2024-08-03
EMPLOYED,18-24,PhD,Retail,Hyderabad,moderate,0.0,86600.0,2024-08-04
EMPLOYED,,Masters,Health,Urban,low,27.0,103400.0,2024-08-07
unemployed,55+,,Retail,Hyderabad,HIGH,10.0,88800.0,2024-08-08
,45-54,,Education,urban,low,29.0,133800.0,2024-08-09
employed,25_34,,Health,urban,,,36200.0,2024-08-10
Employed,,Masters,Finance,urban,Medium,,103800.0,2024-08-12
unemployed,18 to 24,High School,Health,rural,low,1.0,109300.0,2024-08-13
UNEMPLOYED,25_34,Master,Technology,Hyderabad,High,28.0,73000.0,2024-08-14
unemployed,18-24,Master,Healthcare,suburban,HIGH,,102400.0,2024-08-15
unemployed,45-54,Master,Health,Delhi,Low,,140300.0,2024-08-16
Employed,35 - 44,High School,Health,urban,High,,32800.0,2024-08-17
Employed,45-54,,Healthcare,Delhi,Medium,,132400.0,2024-08-18
Employed,55+,PhD,Retail,Hyderabad,,,15200.0,2024-08-19
UNEMPLOYED,45-54,Bachelors,,urban,HIGH,,60600.0,2024-08-20
Unemployed,45-54,Diploma,Retail,urban,HIGH,19.0,70900.0,2024-08-21
employed,25_34,Masters,Healthcare,Hyderabad,low,11.0,132100.0,2024-08-22
Employed,45-54,high school,Finance,Bangalore,moderate,,146900.0,2024-08-23
UNEMPLOYED,35 - 44,Masters,Healthcare,Delhi,low,18.0,74600.0,2024-08-24
employed,,Diploma,Fintech,Delhi,HIGH,,145600.0,2024-08-25
Unemployed,35 - 44,PhD,Tech,Hyderabad,low,29.0,30700.0,2024-08-27
EMPLOYED,55+,PhD,Technology,suburban,HIGH,,11200.0,2024-08-29
UNEMPLOYED,,Masters,Retail,Bangalore,Medium,,18100.0,2024-08-30
employed,,high school,Education,Urban,HIGH,,43100.0,2024-08-31
unemployed,45-54,PhD,Technology,urban,Medium,,62600.0,2024-09-01
unemployed,25-34,Master,,rural,,19.0,137500.0,2024-09-02
Employed,18 to 24,Bachelors,Healthcare,suburban,Medium,7.0,87900.0,2024-09-03
employed,25_34,Ph.D,Retail,suburban,Low,,118800.0,2024-09-06
UNEMPLOYED,25-34,high school,Education,Bangalore,HIGH,21.0,144100.0,2024-09-07
UNEMPLOYED,,,Technology,suburban,moderate,22.0,49500.0,2024-09-09
unemployed,25-34,Diploma,Health,,Low,29.0,117500.0,2024-09-10
UNEMPLOYED,18-24,high school,Technology,Delhi,High,,109800.0,2024-09-11
EMPLOYED,18 to 24,,Finance,Urban,HIGH,,65500.0,2024-09-12
,45-54,PhD,Technology,Urban,low,14.0,30000.0,2024-09-13
employed,18 to 24,Masters,Education,rural,Medium,,62100.0,2024-09-14
EMPLOYED,25-34,Master,,Urban,Low,14.0,104400.0,2024-09-15
Unemployed,,PhD,Education,Delhi,low,,116100.0,2024-09-16
employed,,High School,Tech,Hyderabad,HIGH,,58700.0,2024-09-17
Unemployed,18 to 24,Master,Tech,,moderate,,19000.0,2024-09-18
Employed,18-24,Diploma,Retail,urban,low,14.0,143200.0,2024-09-19
,25-34,,Retail,Bangalore,Low,,10100.0,2024-09-20
,35 - 44,Bachelor's,Health,Hyderabad,Medium,22.0,147100.0,2024-09-21
EMPLOYED,25_34,Bachelors,Tech,Hyderabad,HIGH,,87800.0,2024-09-23
employed,55+,High School,Tech,rural,Low,,75000.0,2024-09-24
unemployed,25-34,Bachelor's,Fintech,Bangalore,Medium,14.0,51800.0,2024-09-25
Employed,18 to 24,High School,Tech,Hyderabad,High,,96300.0,2024-09-27
unemployed,35 - 44,PhD,Retail,Delhi,High,,64500.0,2024-09-28
employed,18 to 24,,Health,suburban,High,15.0,30100.0,2024-10-01
UNEMPLOYED,45-54,Ph.D,Tech,suburban,Low,,101500.0,2024-10-02
UNEMPLOYED,25-34,High School,,Hyderabad,Medium,18.0,86300.0,2024-10-03
unemployed,,Master,Finance,Hyderabad,HIGH,,90400.0,2024-10-05
unemployed,35 - 44,Bachelor's,Tech,Mumbai,Low,16.0,118500.0,2024-10-06
EMPLOYED,18 to 24,,Education,Delhi,,2.0,23900.0,2024-10-07
Employed,18-24,Bachelors,Healthcare,Bangalore,moderate,23.0,113800.0,2024-10-09
Unemployed,55+,Master,Technology,Delhi,low,8.0,132700.0,2024-10-10
employed,25-34,Masters,Tech,Bangalore,High,2.0,26800.0,2024-10-11
unemployed,18-24,Masters,,rural,moderate,10.0,52200.0,2024-10-12
EMPLOYED,35 - 44,High School,Healthcare,Mumbai,,,55000.0,2024-10-13
Unemployed,18 to 24,Masters,Tech,Delhi,,30.0,99500.0,2024-10-14
EMPLOYED,45-54,Master,Tech,,HIGH,,104400.0,2024-10-15
,18 to 24,PhD,Healthcare,Urban,High,7.0,99600.0,2024-10-16
employed,25_34,Bachelors,Healthcare,Urban,moderate,26.0,112300.0,2024-10-17
,55+,Diploma,Fintech,,High,9.0,9500.0,2024-10-19
EMPLOYED,18-24,Master,Retail,rural,,,16400.0,2024-10-20
Employed,35 - 44,,,Hyderabad,Medium,0.0,147800.0,2024-10-21
Unemployed,25-34,Ph.D,Finance,Urban,High,26.0,43900.0,2024-10-23
UNEMPLOYED,18 to 24,High School,Fintech,Bangalore,HIGH,,123100.0,2024-10-25
EMPLOYED,35 - 44,,Retail,Mumbai,Low,,59500.0,2024-10-26
unemployed,25-34,Bachelors,Tech,,HIGH,,115400.0,2024-10-28
Unemployed,45-54,Diploma,,urban,moderate,,13100.0,2024-10-29
employed,25_34,,Tech,Bangalore,HIGH,,130800.0,2024-11-02
employed,55+,PhD,Technology,suburban,,,133400.0,2024-11-03
,25_34,Ph.D,Finance,rural,,24.0,100300.0,2024-11-04
Employed,55+,,Health,Delhi,low,,68800.0,2024-11-05
Employed,55+,PhD,,urban,HIGH,5.0,22700.0,2024-11-06
EMPLOYED,18 to 24,Ph.D,Tech,,,2.0,58400.0,2024-11-07
Employed,25_34,Ph.D,Education,Mumbai,Low,21.0,40200.0,2024-11-08
,55+,PhD,Retail,Bangalore,low,,99100.0,2024-11-11
EMPLOYED,25-34,PhD,Education,,moderate,,37200.0,2024-11-12
employed,35 - 44,Masters,Healthcare,Hyderabad,High,,142900.0,2024-11-13
unemployed,55+,High School,Technology,,High,,20300.0,2024-11-14
,,high school,Education,,,23.0,56600.0,2024-11-15
,45-54,Ph.D,,Urban,,,117800.0,2024-11-16
EMPLOYED,25_34,Bachelors,Retail,Hyderabad,HIGH,,64800.0,2024-11-17
,55+,Bachelor's,Health,,moderate,0.0,28000.0,2024-11-18
EMPLOYED,55+,,Education,suburban,High,,94900.0,2024-11-20
unemployed,45-54,high school,Health,Hyderabad,High,,16400.0,2024-11-21
unemployed,45-54,Masters,Tech,urban,HIGH,,67300.0,2024-11-22
Employed,35 - 44,Diploma,Technology,suburban,Low,,6300.0,2024-11-23
employed,35 - 44,Ph.D,Technology,suburban,High,7.0,63200.0,2024-11-25
unemployed,55+,Master,Tech,,moderate,29.0,53800.0,2024-11-26
Unemployed,25-34,high school,Technology,Delhi,Medium,,106700.0,2024-11-27
,25_34,Bachelor's,Finance,Mumbai,Low,,15500.0,2024-11-29
Employed,,Masters,Health,urban,Medium,11.0,107100.0,2024-11-30
employed,18-24,Ph.D,Healthcare,Delhi,Low,18.0,53800.0,2024-12-01
unemployed,35 - 44,Master,Tech,urban,High,21.0,35200.0,2024-12-02
,25_34,Bachelor's,Technology,Hyderabad,,,46900.0,2024-12-04
unemployed,45-54,High School,Tech,rural,low,23.0,149200.0,2024-12-05
Employed,18 to 24,PhD,Retail,urban,low,,37700.0,2024-12-06
employed,45-54,Masters,,rural,High,,121300.0,2024-12-07
EMPLOYED,18 to 24,PhD,Retail,,moderate,,95900.0,2024-12-09
EMPLOYED,25-34,PhD,Healthcare,rural,HIGH,,100300.0,2024-12-10
employed,18 to 24,,Healthcare,Mumbai,,,50400.0,2024-12-11
EMPLOYED,35 - 44,Diploma,Tech,Bangalore,moderate,,49900.0,2024-12-12
,18-24,,Tech,urban,,,77300.0,2024-12-13
EMPLOYED,25_34,High School,Retail,urban,low,,8300.0,2024-12-14
EMPLOYED,45-54,High School,Retail,Delhi,moderate,28.0,112100.0,2024-12-15
UNEMPLOYED,25-34,Master,Healthcare,Mumbai,High,,86900.0,2024-12-16
unemployed,45-54,High School,Health,,Medium,26.0,103800.0,2024-12-17
Unemployed,25_34,Bachelor's,Healthcare,urban,,15.0,38400.0,2024-12-20
,18-24,High School,Education,,low,10.0,82300.0,2024-12-21
Employed,45-54,Master,,rural,low,5.0,117600.0,2024-12-23
UNEMPLOYED,35 - 44,Bachelor's,Tech,Bangalore,Low,,116700.0,2024-12-25
Unemployed,,Ph.D,Health,Urban,Medium,,94700.0,2024-12-27
Employed,,Diploma,Finance,,Medium,13.0,96200.0,2024-12-28
Unemployed,18 to 24,Bachelors,,Urban,low,16.0,38800.0,2024-12-29
employed,,Master,Healthcare,Hyderabad,High,30.0,18100.0,2024-12-31
unemployed,25-34,PhD,,Mumbai,HIGH,8.0,128300.0,2025-01-01
UNEMPLOYED,45-54,PhD,,Mumbai,Medium,27.0,43200.0,2025-01-02
Unemployed,55+,Bachelors,,Mumbai,moderate,1.0,43700.0,2025-01-03
UNEMPLOYED,,high school,Health,,Low,17.0,115300.0,2025-01-04
Unemployed,25-34,Diploma,Retail,Bangalore,Low,1.0,55600.0,2025-01-05
unemployed,18-24,PhD,Tech,urban,moderate,,105200.0,2025-01-06
Unemployed,55+,High School,Education,,,19.0,145700.0,2025-01-08
Employed,45-54,Bachelors,Health,suburban,Low,,24000.0,2025-01-09
EMPLOYED,18-24,Bachelors,Retail,rural,,24.0,145300.0,2025-01-11
EMPLOYED,55+,high school,Health,suburban,moderate,,30300.0,2025-01-12
Employed,18-24,Master,Healthcare,Delhi,HIGH,2.0,32900.0,2025-01-13
employed,35 - 44,high school,Finance,Hyderabad,HIGH,6.0,52900.0,2025-01-14
Employed,,Bachelors,Fintech,,Medium,,89900.0,2025-01-15
employed,35 - 44,Ph.D,Tech,suburban,moderate,,53900.0,2025-01-16
Unemployed,55+,Bachelor's,Retail,Mumbai,,,126500.0,2025-01-17
unemployed,,Bachelor's,Retail,suburban,low,,67100.0,2025-01-19
Unemployed,55+,,Retail,rural,HIGH,0.0,143300.0,2025-01-20
,35 - 44,Bachelors,Retail,urban,Medium,,28000.0,2025-01-21
,55+,high school,,Urban,low,,88000.0,2025-01-22
UNEMPLOYED,18-24,PhD,Retail,,Medium,,113700.0,2025-01-23
Employed,35 - 44,high school,Technology,Mumbai,HIGH,,88500.0,2025-01-24
EMPLOYED,55+,high school,Retail,suburban,HIGH,8.0,65500.0,2025-01-25
employed,55+,,Tech,Urban,High,22.0,41300.0,2025-01-26
UNEMPLOYED,35 - 44,Bachelor's,Technology,suburban,High,,148100.0,2025-01-27
Employed,18 to 24,High School,Technology,Urban,High,27.0,59900.0,2025-01-28
Employed,45-54,Bachelors,Tech,Delhi,High,,84800.0,2025-01-29
,25-34,Bachelor's,Retail,Urban,,,47700.0,2025-01-30
unemployed,55+,Masters,Tech,rural,moderate,11.0,68800.0,2025-01-31
employed,18 to 24,high school,Retail,rural,Medium,10.0,42000.0,2025-02-01
UNEMPLOYED,18-24,Bachelor's,Retail,Delhi,HIGH,,22600.0,2025-02-02
UNEMPLOYED,45-54,Ph.D,Retail,urban,HIGH,,30500.0,2025-02-03
Employed,18-24,Masters,Finance,Urban,,30.0,29800.0,2025-02-05
unemployed,55+,High School,Retail,Mumbai,Medium,,7300.0,2025-02-06
Employed,,,,Delhi,Low,1.0,131600.0,2025-02-07
EMPLOYED,18 to 24,Ph.D,Tech,Hyderabad,low,29.0,44500.0,2025-02-08
EMPLOYED,18 to 24,,Tech,Mumbai,High,14.0,43200.0,2025-02-09
Employed,25_34,Bachelors,Finance,urban,low,30.0,104100.0,2025-02-13
Unemployed,18-24,Bachelor's,Fintech,Delhi,HIGH,,18100.0,2025-02-14
unemployed,55+,Bachelor's,,urban,moderate,,28200.0,2025-02-15
employed,55+,Bachelor's,Healthcare,Hyderabad,Low,18.0,143100.0,2025-02-16
Unemployed,25_34,Bachelor's,Finance,Urban,moderate,,30000.0,2025-02-18
Employed,45-54,Bachelors,Finance,,Low,,114700.0,2025-02-19
Employed,,PhD,Tech,Mumbai,,20.0,78000.0,2025-02-20
UNEMPLOYED,55+,High School,,Hyderabad,moderate,12.0,97400.0,2025-02-21
Unemployed,25_34,Ph.D,Healthcare,,low,,90000.0,2025-02-22
EMPLOYED,,Bachelors,Fintech,Delhi,HIGH,18.0,71400.0,2025-02-23
,45-54,high school,Retail,Hyderabad,Medium,,59600.0,2025-02-24
Unemployed,25_34,Bachelors,Healthcare,Mumbai,,,137900.0,2025-02-25
employed,25_34,Diploma,Finance,Hyderabad,High,,85600.0,2025-02-26
employed,,,Tech,Bangalore,low,11.0,38800.0,2025-02-27
employed,18-24,Bachelors,Health,Delhi,low,,84400.0,2025-02-28
EMPLOYED,35 - 44,Bachelor's,Fintech,,moderate,,38600.0,2025-03-02
unemployed,18-24,Ph.D,Fintech,Mumbai,Medium,11.0,105500.0,2025-03-03
,25-34,Diploma,Healthcare,Mumbai,moderate,,61600.0,2025-03-04
Unemployed,55+,Diploma,Tech,Bangalore,moderate,23.0,77300.0,2025-03-05
employed,25-34,Ph.D,Fintech,urban,moderate,,144200.0,2025-03-06
,55+,Diploma,Retail,rural,HIGH,,39800.0,2025-03-07
EMPLOYED,18-24,Masters,Health,Bangalore,moderate,,33200.0,2025-03-08
Employed,25-34,High School,Healthcare,Delhi,Medium,,110300.0,2025-03-09
,35 - 44,Bachelor's,Healthcare,Delhi,,20.0,138500.0,2025-03-11
unemployed,18 to 24,Masters,Healthcare,Urban,Low,,109000.0,2025-03-12
EMPLOYED,45-54,Diploma,Retail,Hyderabad,Low,,9900.0,2025-03-13
UNEMPLOYED,55+,Bachelors,Health,suburban,,0.0,75800.0,2025-03-15
employed,35 - 44,Bachelors,Technology,Hyderabad,High,14.0,47300.0,2025-03-16
employed,45-54,,Fintech,Delhi,,16.0,142700.0,2025-03-18
,18-24,Bachelor's,Health,suburban,,,35800.0,2025-03-19
EMPLOYED,35 - 44,High School,Retail,Delhi,low,,32300.0,2025-03-20
,25-34,High School,Technology,suburban,HIGH,,51000.0,2025-03-21
EMPLOYED,18-24,Bachelor's,Technology,urban,HIGH,28.0,128000.0,2025-03-22
EMPLOYED,25-34,High School,Finance,Urban,High,20.0,144700.0,2025-03-23
EMPLOYED,18-24,,Technology,Delhi,moderate,,89800.0,2025-03-24
unemployed,,Master,Fintech,urban,High,29.0,106200.0,2025-03-25
Employed,45-54,Master,Health,Hyderabad,moderate,,106200.0,2025-03-26
Unemployed,,,Technology,Mumbai,,,66900.0,2025-03-27
,18 to 24,high school,Education,,,22.0,81800.0,2025-03-28
employed,,PhD,Healthcare,Hyderabad,moderate,,7500.0,2025-03-29
UNEMPLOYED,25_34,Masters,Retail,Delhi,HIGH,11.0,86800.0,2025-03-30
Unemployed,18 to 24,high school,Healthcare,urban,Low,,80800.0,2025-03-31
,25_34,Masters,Technology,Mumbai,High,,144800.0,2025-04-01
unemployed,18 to 24,Bachelors,Education,Bangalore,,,45200.0,2025-04-02
employed,45-54,high school,Education,Delhi,,5.0,97600.0,2025-04-03
EMPLOYED,55+,Masters,,Urban,low,,29600.0,2025-04-04
,55+,,,Hyderabad,Low,20.0,88600.0,2025-04-05
Employed,45-54,High School,Fintech,urban,High,24.0,37100.0,2025-04-06
,25-34,Bachelor's,Healthcare,rural,Low,,41800.0,2025-04-07
Employed,,Master,Education,Delhi,,,38100.0,2025-04-10
UNEMPLOYED,25-34,High School,Tech,Delhi,HIGH,29.0,92200.0,2025-04-12
EMPLOYED,55+,Masters,Education,Delhi,Medium,14.0,117100.0,2025-04-13
,18-24,PhD,Education,Urban,High,,78600.0,2025-04-15
employed,18-24,PhD,,Delhi,moderate,5.0,111000.0,2025-04-16
UNEMPLOYED,18-24,Masters,Tech,,moderate,,82600.0,2025-04-17
EMPLOYED,35 - 44,High School,Retail,suburban,moderate,,139600.0,2025-04-18
Employed,25_34,,Education,Mumbai,Low,16.0,87900.0,2025-04-19
EMPLOYED,45-54,,Education,Urban,,,24200.0,2025-04-20
,55+,Ph.D,Education,urban,moderate,,56100.0,2025-04-21
UNEMPLOYED,18 to 24,Bachelors,Finance,Hyderabad,Low,24.0,114400.0,2025-04-23
UNEMPLOYED,55+,Ph.D,Tech,Delhi,High,25.0,139500.0,2025-04-24
Employed,,Master,Fintech,Urban,Medium,21.0,102200.0,2025-04-25
UNEMPLOYED,18 to 24,,Tech,Mumbai,Medium,,64500.0,2025-04-26
unemployed,55+,,Technology,Urban,low,,33300.0,2025-04-27
Employed,55+,high school,Health,,,7.0,77700.0,2025-04-28
unemployed,18 to 24,PhD,Finance,Bangalore,,10.0,22200.0,2025-04-29
,18 to 24,Diploma,Retail,,Low,,103800.0,2025-05-03
,55+,Bachelors,Finance,,High,,34800.0,2025-05-04
Employed,18-24,,Fintech,Hyderabad,moderate,14.0,11900.0,2025-05-06
UNEMPLOYED,18-24,Masters,Finance,rural,moderate,,94800.0,2025-05-07
unemployed,25-34,high school,Retail,suburban,moderate,20.0,113500.0,2025-05-08
EMPLOYED,25-34,Bachelor's,Health,suburban,low,,43900.0,2025-05-09
Unemployed,18-24,Bachelors,Technology,Mumbai,low,6.0,25900.0,2025-05-10
UNEMPLOYED,25-34,Bachelor's,Healthcare,,,28.0,110600.0,2025-05-11
Unemployed,18 to 24,Masters,Finance,suburban,Low,19.0,121400.0,2025-05-12
Unemployed,25_34,PhD,Education,Mumbai,low,20.0,145700.0,2025-05-13
unemployed,18 to 24,Masters,Fintech,Urban,Low,1.0,105700.0,2025-05-15
Unemployed,25-34,Ph.D,Education,,low,8.0,42200.0,2025-05-16
,,Ph.D,Education,Delhi,moderate,,88300.0,2025-05-17
UNEMPLOYED,25_34,Diploma,Health,Bangalore,moderate,7.0,68600.0,2025-05-18
